DataHora,TempoGasto,WIDTH,HEIGHT,MAX_ITER,RE_MIN,RE_MAX,IM_MIN,IM_MAX,Machine,Code,Schedule,ChunkSize,Threads
2026-09-22 21:28:22,213.691,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:34:39,209.579,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:41:25,239.08,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:41:45,6.84303,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:42:04,7.38299,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:42:24,7.08934,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:43:40,25.3999,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:44:54,26.6288,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:46:08,26.0061,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:51:13,103.645,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 21:56:12,108.524,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 22:01:10,101.604,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,,,1
2026-09-22 22:01:23,4.28178,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:01:36,4.43433,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:01:48,4.42366,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:02:01,4.40567,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:02:13,4.24038,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:02:26,4.24145,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:02:38,4.06629,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:02:54,4.39679,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:03:08,4.66385,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:03:25,7.83107,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:03:39,5.95643,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:03:54,6.29914,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:04:11,7.63477,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:04:28,8.07299,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:04:46,8.15235,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:05:38,16.9317,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:06:32,17.8337,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:07:23,16.7277,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:08:17,15.804,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:09:27,20.4217,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:10:33,24.5387,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:11:29,20.6478,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:12:21,17.8416,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:13:25,16.2405,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 22:14:36,29.9301,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:15:50,27.994,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:17:01,29.6651,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 22:18:20,34.1737,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:19:30,32.8789,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:20:51,36.0556,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 22:24:58,85.073,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:29:19,84.9205,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:33:26,72.2481,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,static,64.0,4
2026-09-22 22:37:15,69.251,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 22:41:37,86.3876,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:05:44,132.89,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:06:26,144.476,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:09:21,54.0958,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:12:27,60.7626,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:15:36,62.6384,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:18:47,86.5276,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 23:22:33,77.2982,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 23:25:43,82.0037,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 23:28:55,84.6957,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 23:32:11,84.5648,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 23:35:22,88.2503,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,auto,0.0,4
2026-09-22 23:35:31,1.50771,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:35:41,1.50197,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:35:49,1.48403,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:35:59,1.42088,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:36:08,1.40416,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:36:16,1.41746,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:36:25,1.65461,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:36:34,1.53001,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:36:43,1.43888,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:36:52,1.41699,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:37:00,1.42866,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:37:09,1.7192,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:37:19,1.73182,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:37:28,1.73571,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:37:37,1.61814,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:38:13,5.66336,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:38:50,5.70046,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:39:26,5.84624,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
2026-09-22 23:40:02,5.68718,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:40:39,5.71451,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:41:13,5.60977,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,1.0,4
2026-09-22 23:41:47,5.75284,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:42:22,5.68165,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:42:57,5.51256,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,dynamic,64.0,4
2026-09-22 23:43:32,5.79525,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:44:07,5.67701,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:44:42,5.71663,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,guided,64.0,4
2026-09-22 23:45:18,6.56299,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:45:53,6.372,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:46:28,6.51793,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,auto,0.0,4
2026-09-22 23:48:50,22.9737,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,paralelo,static,64.0,4
