Scenario,WIDTH,Code,Schedule_Chunk,Tempo_Medio,Tempo_Min,Tempo_Max,Tempo_Std,Speedup_Medio,Eficiencia_Media,Execucoes
Zoom (Seahorse),4096,paralelo,dynamic (1024),1.57822,1.55081,1.61742,0.03483498385244363,3.790127647804647,0.9475319119511617,3
Zoom (Seahorse),4096,paralelo,guided (64),1.57858,1.41699,1.74947,0.1803373791905975,3.8254516497657383,0.9563629124414346,4
Zoom (Seahorse),4096,paralelo_collapse,guided (64),1.6020266666666665,1.54723,1.69663,0.08227100359989137,3.738995961200461,0.9347489903001153,3
Zoom (Seahorse),4096,paralelo,static (1024),1.6156933333333334,1.59329,1.65967,0.03808717150607709,3.7023843956431004,0.9255960989107751,3
Zoom (Seahorse),4096,paralelo_collapse,dynamic (64),1.6542166666666667,1.5545,1.84556,0.16575755015483715,3.6378648129370794,0.9094662032342699,3
Zoom (Seahorse),4096,paralelo,dynamic (64),1.6574175,1.43888,2.00617,0.2487485331782548,3.6646929949827403,0.9161732487456851,4
Zoom (Seahorse),4096,paralelo,auto (0),1.6952233333333335,1.61814,1.73571,0.06678445353024416,3.5311386925307566,0.8827846731326892,3
Zoom (Seahorse),4096,paralelo,guided (1024),1.8209333333333333,1.61607,1.94264,0.17846082100375246,3.306260781255132,0.826565195313783,3
Zoom (Seahorse),4096,paralelo_collapse,static (64),1.8738766666666666,1.74994,1.97091,0.11291491147467335,3.1990124327043996,0.7997531081760999,3
Zoom (Seahorse),4096,paralelo_collapse,auto (0),1.91659,1.85627,1.98374,0.06400888141500366,3.122294957517146,0.7805737393792865,3
Zoom (Seahorse),4096,paralelo_collapse,dynamic (1),1.9174833333333332,1.85493,1.98164,0.06337021408621987,3.120801474250834,0.7802003685627085,3
Zoom (Seahorse),8192,paralelo_collapse,dynamic (1024),5.37744,5.293,5.50648,0.11351342475672165,4.292113964795987,1.0730284911989967,3
Zoom (Seahorse),8192,paralelo_collapse,guided (1024),5.42199,5.29682,5.64391,0.19271297024331252,4.259112870546318,1.0647782176365794,3
Zoom (Seahorse),8192,paralelo,dynamic (64),5.649016666666667,5.51256,5.75284,0.12341928712050378,4.085880192018111,1.0214700480045278,3
